transaction_graph_strength,historical_association,temporal_similarity,geographic_relevance,risk_score
0.9556428757689246,0.7319939418114051,0.5986584841970366,0.17658466252766641,0.6272679333758285
0.5133240027692805,0.33370861113902184,0.14286681792194078,0.6517381203551995,0.40327747365692973
0.9446974381141752,0.0007787658410143283,0.9922115592912175,0.34623781203460174,0.5338766166051345
0.48875051677790415,0.2912291401980419,0.6118528947223795,0.45719539358237654,0.3909310752397902
0.4442157921404465,0.9832308858067882,0.4667628932479799,0.7417011109663175,0.7654514064497219
0.1585464336867516,0.9488855372533332,0.9656320330745594,0.7399746149894089,0.7997568223038092
0.3078044430599341,0.24102546602601171,0.6832635188254582,0.6130228193897037,0.4358842884018948
0.9183883618709039,0.2587799816000169,0.662522284353982,0.7208863595004755,0.46588788759109023
0.6109302950379923,0.03131329245555858,0.8422847745949985,0.18216657531762914,0.2874068255606057
0.6381099809299766,0.9218742350231168,0.0884925020519195,0.09909146571348924,0.4547237730714795
0.5857229191501718,0.5867511656638482,0.965255307264138,0.24900427177833914,0.6307720890220013
0.8219772826786357,0.07455064367977082,0.9868869366005173,0.4323077999694041,0.5086384757636632
0.27895816367992465,0.71134195274865,0.7901755405312056,0.7698440259210961,0.6610124303091456
0.20428215357261675,0.8631034258755935,0.6232981268275579,0.352082576215471,0.5718909928401757
0.7566455605042577,0.6375574713552131,0.8872127425763265,0.3962170123484518,0.6592478643764832
0.7847065437552077,0.5612771975694962,0.770967179954561,1.0,0.6896260835163834
0.12287721406968567,0.10789142699330445,0.03142918568673425,0.25812495414085973,0.17776742244374877
0.9168098265334838,0.24929222914887494,0.41038292303562973,0.121074167130208,0.4265558391879756
0.725306439735734,0.8804678390152577,0.6243540481337932,0.6389677982652665,0.7341044979925733
0.823304869209203,0.18657005888603584,0.8925589984899778,0.33718621335497767,0.49401570446298776
0.42066805426927745,0.906828441545754,0.2721322493846353,0.06506100267669909,0.4633499986160205
0.4756699028339011,0.22210781047073025,0.1198653673336828,0.7452936326533509,0.34870585933492576
0.4634525539522367,0.06489224710898156,0.2539154139343447,0.8817873512216565,0.29305773919189837
0.37079047883509275,0.2848404943774676,0.036886947354532795,0.7060230209941026,0.459838392811997
0.4105641232240147,0.6343513447013638,0.6807054515547668,0.2501240858361289,0.5960356980621357
0.17276799369944373,0.36965445606140446,0.24215993827742588,0.186270899632073,0.33816762698103153
0.6701767396848052,0.5357746840747585,0.0902897700544083,0.3506567517796674,0.48269265635077724
0.8725229243323479,0.32595890520188475,0.2202410475655483,0.588751161441627,0.4969607452910423
0.6806555113685049,0.17436642900499144,0.690937738102466,0.26205482159617355,0.38842931697227234
0.7081211053353527,0.7352161192407721,0.20907162073771368,0.987231911732072,0.6947900722605587
0.25745943438634256,0.9821683433294356,0.5166358912710143,0.20628245997331826,0.6140227127252179
0.2698363975072414,0.2788713525921819,0.7003578299727713,0.7108711799627385,0.45304980487681107
0.677828481538859,0.08413996499504883,0.16162871409461377,0.8226288269498875,0.4084432621435235
0.43505448990556883,0.9401334424577784,0.9736638367553173,0.6014618202874312,0.7233923859193511
0.7227056779234239,0.6519612595026005,0.22426930946055978,0.3025318329772679,0.5500400980604132
0.26094043829919594,0.3664687845828599,0.7441705230565623,0.4040105367886094,0.483658224384525
0.557932669154884,0.6363326181858954,0.25046181860558414,0.2315890907152316,0.4654938271721579
0.902841899659402,0.6311386259972629,0.7948113035416484,0.9734422159061742,0.7913628057279474
0.27571868901824004,0.7224521152615053,0.2807723624408558,0.8041980064470023,0.554255066830931
0.9950954597176069,0.46994451399094295,0.2795603417967586,0.8327223386365866,0.6347821987101943
0.9354867063289528,0.42818414831731433,0.9666548190436696,0.4153206281931595,0.559023728805789
0.38522980464064993,0.1694927466860925,0.5568012624583502,0.8173180925851182,0.43893279959770254
0.6535065040292528,0.9900538501042633,0.14008401523652403,0.5057423508862376,0.65845615704609
0.8638028154322069,0.13662133144202881,0.7089109969101186,0.619811203099344,0.5165393895400513
0.8291020552112627,0.8670723185801037,0.9132405525564713,0.45150476863060485,0.9782349772444454
0.27484655816083803,0.07094091699992766,0.3967838272138884,0.5068351251103829,0.24359902736841507
0.5190382163192142,0.5426446347075766,0.2865412521282844,0.6585468194610108,0.5138930470917734
0.1349512609864809,0.3032655146732228,0.5370824271966554,0.2966392001972417,0.28949356018101663
0.29423892474715885,0.6228904758190003,0.085347464993768,0.2045571839903814,0.3334048876935709
0.6736869113483859,0.7260913337226615,0.9758520794625346,0.49748574133423923,0.729164195656568
0.4589388113003151,0.43352073758074205,0.7440426429991154,0.7267307798696157,0.5304368961678992
0.7196499106888298,0.05819359550844361,0.9152137276264805,0.6451171320175908,0.4621171390647527
0.6941776390459581,0.27993389694594284,0.9548652806631941,0.837729626546041,0.6918956173533902
0.47764005618501093,0.24773098950115746,0.3559726786512616,0.4762608038793331,0.4546673875671993
0.7870279807035199,0.8069129770507795,0.3463043210894008,0.6113112156958203,0.6467735631827376
0.6542650882469948,0.6350936508676438,0.04530400977204452,0.5441273289066115,0.4309836381732157
0.5509358955237333,0.5393774484000625,0.6839637693981411,0.45677683677576253,0.5614953662685098
0.12386017948745964,0.5857755812734633,0.9402302414249576,0.21026230175113425,0.5532078151259688
0.21565031791051917,0.811204176736003,0.8206394757439553,0.31370174186334576,0.6168244850366688
0.2860159238890708,0.27396112732113376,0.21458911970837413,0.3581491118789568,0.2757643431946543
0.7147060960747211,0.07118864846022899,0.3189756302937613,0.34106352430557885,0.3459046143699551
0.7236013228227455,0.34833660445319736,0.9366481518557073,0.19099213668197934,0.4842889613916506
0.3538311153141759,0.17743954377972282,0.7506147516408583,0.3212328388068218,0.2950830534501676
0.31473717381130617,0.6798447799002458,0.7399087604473745,0.43731421304618456,0.5032295762184036
0.5547271352030715,0.8264574661077416,0.32004960103061175,0.7760775202130246,0.703452573285831
0.9626873471948785,0.8471431440955898,0.3549051904627206,0.21035680844423502,0.6578289275667589
0.6160940993109575,0.6318372121697993,0.44844552197831977,0.09939826185002981,0.42481303085639455
0.2914551055218061,0.9461945428816902,0.7812960504712025,0.8813666575878907,0.7895305246247323
